KNOT	V Ha	V [NII]	W Ha	W [NII]	F Ha	F [NII]	NOTAS:	[N II]/Ha
050-422	-38.91		27.06		2.14	7.47E-004	[NII]=ms	3.5e-4
4242-458	-20.90	-22.54	30.59	17.71	4.21	0.81		0.19
4244-554	-20.02	-12.31	27.03	23.53	12.33	10.00		0.81
4245-742	-61.27	-62.00	32.27	14.96	0.47	0.12		0.26
4252-608	-80.00	-82.25	29.17	19.31	0.99	0.39		0.39
4252-616	-21.62	-18.73	28.24	28.24	10.19	6.39		0.63
4254-551	-68.29	-68.67	26.12	17.48	6.41	1.99		0.31
4258-744	-59.53	-62.18	33.56	27.97	2.01	0.58		0.29
4260-624	-58.57	-60.41	35.15	33.22	18.63	8.11		0.44
4261-633	-59.68	-60.86	31.01	26.47	6.14	3.27		0.53
4261-656	-58.25	-64.69	25.29	18.58	0.49	0.16		0.33
4263-460	-31.88	-32.05	32.94	23.53	1.36	0.24		0.18
4265-637	-53.71	-55.21	37.65	21.99	6.00	1.80		0.30
4266-615	-57.04	-57.68	31.83	23.17	18.44	5.78		0.31
4268-413	-63.15	-64.41	28.02	16.38	1.26	0.36		0.29
4272-545	-71.89	-73.00	28.32	19.28	3.66	0.98		0.27
4272-628	-65.06	-75.11	32.94	18.28	0.48	0.08		0.17
4273-625	-53.35	-55.76	28.24	27.47	2.52	0.78		0.31
4274-439	-37.60	-44.98	28.24	12.59	1.14	0.14		0.12
4277-539	-77.01	-77.05	28.24	14.41	0.98	0.21		0.21
4280-551	-64.00	-64.11	30.26	20.76	5.47	1.69		0.31
4280-658	-61.88	-63.76	28.24	24.65	0.42	0.09		0.21
4284-308	-36.73	-39.87	28.24	20.12	3.42	1.46		0.43
4285-444	-60.10	-60.23	25.87	22.01	0.59	0.11		0.19
4289-524	-71.51	-73.52	25.16	17.25	0.82	0.22		0.27
4292-323	-54.91	-56.00	28.58	23.53	3.30	2.02		0.61
4293-557	-40.98	-41.06	32.94	18.83	1.11	0.22		0.20
4320-626	-64.73	-65.89	27.27	12.33	1.54	0.24		0.16
4331-453	-30.21	-32.39	28.24	18.83	1.63	0.31		0.19
4332-401	-70.99	-69.93	15.27	13.83	0.15	0.06		0.40
4335-207	-19.36	-21.52	27.50	15.61	94.23	22.59		0.24
4359-521	-37.00	-38.58	31.18	16.00	1.90	0.31		0.16
4374-457	-20.08	-16.17	23.53	18.86	1.84	0.48		0.26
4376-329	-63.16	-66.86	32.94	19.15	0.52	0.09		0.17
4377-526	-70.96	-71.50	28.24	13.30	0.52	0.06		0.12
4378-414	-67.13	-69.64	31.14	17.17	0.44	0.05		0.11
4378-434	-68.21		28.24		0.22	0.01	[NII]=FBL	0.05
4383-411	-60.48	-62.30	37.26	11.48	0.39	0.04		0.10
4385-243	-77.62		31.38		0.33	0.02	[NII]=FBL	0.06
4389-327	-63.34		34.58		0.59	5.68E-004	[NII]=ms	9.6e-4
4396-541	-90.00	-91.25	23.59	13.72	0.87	0.10		0.11
4402-400	-75.26	-78.97	23.53	13.15	0.54	0.10		0.19
4405-349	-78.13		20.73		0.14	7.93E-004	[NII]=ms	5.7e-3
4406-330	-74.93	-77.70	23.53	10.03	0.24	0.03		0.13
4407-229	-78.61	-80.39	25.93	11.72	0.19	0.03		0.16
4409-243	-67.17		22.16		0.18	5.41E-004	[NII]=ms	3.0e-3
4456-324	-68.95		19.23		0.74	8.39E-004	[NII]=ms	1.1e-3
