knot	V(Ha)	V([N II])	W(Ha)	W([N II])	F(Ha)	dF(Ha)	F([N II])	dF([N II])	size
050-422	-38.91	-38.21	27.06	15.99	2.14	0.16	0.0	0.10	4.4
4242-458	-20.90	-22.54	30.59	17.71	4.21	0.42	0.91	0.04	9.8
4244-554	-16.55	-15.23	28.24	21.23	15.85	1.49	8.26	0.27	14.2
4245-742	-61.27	-61.96	32.27	14.96	0.47	0.07	0.13	0.06	3.1
4252-608	-80.10	-82.25	29.17	19.31	0.99	0.10	0.44	0.02	3.7
4252-616	-16.75	-17.62	37.65	30.12	13.83	1.02	7.71	0.79	6.9
4254-551	-68.29	-68.67	26.12	17.48	6.41	0.11	2.25	0.12	8.1
4258-744	-59.53	-62.18	33.56	27.97	2.01	0.17	0.66	0.09	6.9
4260-612	-64.32	-63.24	38.75	34.10	3.59	0.34	1.43	0.26	4.4
4261-352	-48.29	-47.96	22.98	14.99	0.0	0.42	0.0	0.11	14.3
4261-422	-57.81	-57.74	35.09	28.40	1.31	0.11	0.30	0.04	3.1
4261-626	-59.67	-61.19	35.22	26.62	5.05	0.30	2.99	0.22	5.6
4263-460	-31.88	-32.05	32.94	23.53	1.36	0.22	0.27	0.06	5.7
4265-630	-54.69	-55.00	34.06	29.13	10.08	0.74	3.77	0.42	10.6
4266-615	-57.04	-57.68	31.83	23.17	18.44	0.62	6.53	0.44	16.9
4268-414	-42.08	-41.91	37.92	22.98	0.50	0.13	0.0	0.13	3.1
4271-440	-60.68	-64.06	30.20	16.39	1.26	0.24	0.40	0.03	5.6
4272-545	-64.20	-63.92	28.33	19.96	7.31	0.28	2.64	0.27	10.0
4272-622	-54.43	-55.64	31.17	21.42	2.53	0.15	0.84	0.09	6.9
4273-639	-65.21	-64.84	32.94	19.99	0.48	0.05	0.0	0.12	4.4
4273-704	-57.61	-64.84	33.26	21.98	1.40	0.25	0.0	0.31	16.8
4277-539	-77.01	-77.05	28.24	14.41	0.98	0.09	0.23	0.05	4.4
4280-551	-72.92	-76.29	27.42	22.45	0.63	0.06	0.21	0.02	3.7
4284-308	-36.73	-39.87	28.24	20.12	3.42	0.44	1.65	0.13	5.6
4285-444	-60.15	-59.97	25.87	22.01	0.59	0.08	0.12	0.04	4.4
4289-524	-71.51	-73.52	25.16	17.25	0.82	0.08	0.25	0.04	4.4
4289-647	-32.43	-28.28	28.24	20.71	0.50	0.17	0.18	0.03	4.4
4292-323	-54.91	-56.00	28.58	23.53	3.30	0.26	2.29	0.19	6.9
4293-557	-41.21	-41.14	32.94	18.83	1.11	0.08	0.24	0.03	4.8
4320-626	-64.73	-65.89	27.27	12.33	1.54	0.10	0.27	0.02	6.9
4331-453	-30.21	-32.39	28.24	18.83	1.63	0.21	0.35	0.08	6.8
4332-401	-71.00	-69.93	15.27	13.83	0.15	0.05	0.07	0.02	3.1
4334-560	-67.06	-72.08	16.64	17.10	0.16	0.04	0.09	0.04	5.6
4335-207	-19.36	-21.52	27.50	15.61	94.23	1.29	25.53	0.55	23.0
4359-521	-37.34	-38.58	31.18	16.00	1.90	0.32	0.35	0.05	6.9
4374-457	-66.67	-67.16	24.58	14.99	0.19	0.07	0.0	0.03	2.6
4376-329	-79.92	-81.66	26.27	15.68	0.49	0.10	0.13	0.02	4.3
4377-526	-70.96	-71.50	28.24	13.30	0.52	0.06	0.07	0.02	3.7
4378-434	-68.00	-68.44	28.24	16.99	0.22	0.04	0.0	0.03	4.3
4381-411	-67.31	-69.64	30.71	17.17	0.44	0.05	0.05	0.01	3.1
4383-343	-63.12	-65.41	38.22	16.46	0.40	0.08	0.07	0.02	3.1
4385-243	-77.62	-78.31	31.38	18.99	0.33	0.05	0.0	0.03	5.6
4389-327	-63.03	-65.38	44.71	15.99	0.67	0.20	0.15	0.01	6.8
4396-541	-90.00	-91.25	23.59	13.72	0.87	0.12	0.11	0.02	8.1
4402-400	-75.26	-78.97	23.53	13.15	0.54	0.08	0.12	0.03	5.6
4405-349	-78.13	-77.93	20.73	15.99	0.14	0.03	0.0	0.04	4.3
4406-330	-68.93	-69.20	23.53	13.99	0.27	0.05	0.0	0.03	5.6
4407-229	-78.61	-80.39	25.93	11.72	0.19	0.04	0.04	0.01	4.4
4409-243	-67.17	-66.78	22.16	12.99	0.18	0.04	0.0	0.02	5.6
4456-324	-68.95	-71.43	19.23	8.99	0.74	0.20	0.14	0.01	6.8
